"SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","F","D","E","R","X","species","year"
4082630000,155131000,0,4242120000,125948000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",1
4082630000,174064000,0,4242120000,125693000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",2
4089150000,105100000,0,4242540000,125457000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",3
4118930000,28646800,0,4243700000,125243000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",4
4158430000,141115000,0,4244970000,125030000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",5
4145750000,53686300,0,4246080000,124826000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",6
4077780000,73187300,0,4246920000,124641000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",7
3998200000,110778000,0,4247010000,124459000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",8
3870550000,140686000,0,4246460000,124304000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",9
3733960000,169027000,0,4245130000,124177000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",10
3624540000,83291500,0,4243240000,124175000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",11
3569640000,52933700,0,4241020000,124123000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",12
3556540000,95889300,0,4238470000,124106000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",13
3523240000,94659700,0,4235600000,124113000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",14
3464930000,39072200,0,4232510000,124423000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",15
3403480000,71623700,0,4229510000,124755000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",16
3323460000,76422800,0,4226880000,125187000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",17
3211870000,102151000,0,4225100000,125597000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",18
3097110000,113289000,0,4224080000,126224000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",19
2993450000,94401600,0,4224260000,126905000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",20
2922400000,170619000,0,4225940000,127938000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",21
2883320000,163677000,0,4229530000,128977000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",22
2883900000,158962000,0,4235180000,130065000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",23
2955340000,200769000,0,4243240000,131978000,0,"F0-D6-E0-R0-X6-cow",1,"F0","D6","E0","R0","X6","cow",24
