"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","L_at_Amax_Fem_GP_1_ENV_add_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","AgeSel_1P_1_Fishery_om","AgeSel_1P_2_Fishery_om","AgeSel_1P_3_Fishery_om","AgeSel_1P_4_Fishery_om","AgeSel_1P_5_Fishery_om","AgeSel_1P_6_Fishery_om","AgeSel_2P_1_Survey_om","AgeSel_2P_2_Survey_om","AgeSel_2P_3_Survey_om","AgeSel_2P_4_Survey_om","AgeSel_2P_5_Survey_om","AgeSel_2P_6_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","AgeSel_1P_1_Fishery_em","AgeSel_1P_2_Fishery_em","AgeSel_1P_3_Fishery_em","AgeSel_1P_4_Fishery_em","AgeSel_1P_5_Fishery_em","AgeSel_1P_6_Fishery_em","AgeSel_2P_1_Survey_em","AgeSel_2P_2_Survey_em","AgeSel_2P_3_Survey_em","AgeSel_2P_4_Survey_em","AgeSel_2P_5_Survey_em","AgeSel_2P_6_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","D","F","G","X","h","species","max_grad","version","RunTime","hessian","VonBert_K_Fem_GP_1_ENV_add_om","y","SizeSel_1P_1_Fishery_om","SizeSel_1P_2_Fishery_om","SizeSel_1P_3_Fishery_om","SizeSel_1P_4_Fishery_om","SizeSel_1P_5_Fishery_om","SizeSel_1P_6_Fishery_om","SizeSel_2P_1_Survey_om","SizeSel_2P_2_Survey_om","SizeSel_2P_3_Survey_om","SizeSel_2P_4_Survey_om","SizeSel_2P_5_Survey_om","SizeSel_2P_6_Survey_om","SizeSel_1P_1_Fishery_em","SizeSel_1P_2_Fishery_em","SizeSel_1P_3_Fishery_em","SizeSel_1P_4_Fishery_em","SizeSel_1P_5_Fishery_em","SizeSel_1P_6_Fishery_em","SizeSel_2P_1_Survey_em","SizeSel_2P_2_Survey_em","SizeSel_2P_3_Survey_em","SizeSel_2P_4_Survey_em","SizeSel_2P_5_Survey_em","SizeSel_2P_6_Survey_em","ID"
"54",858757000,85.6561,1868290000,0.501033565452901,0,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,NA,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,90.7277,330152,5341.07,0,-156.492,NA,NA,NA,6662.01,318250,NA,NA,NA,NA,54.9667,0,0,0,0,0,956014000,78.0461,2054600000,0.491146695220481,1,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.69506,0.44,0.5,0,0,0,0,0,20,0,21.2446,-1,4.08857,15,-999,999,18.3203,-1,4.08772,15,-999,999,90.7277,6081200,3.64427e-10,0,6076430,NA,NA,NA,4787.04,NA,NA,NA,NA,NA,-17.9812,0,0,0.000894579,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G5-X1-yellow-age",2,"D1","F0","G5","X1",NA,"age",0.00270441,"#V3.24O",0.0563888888888889,FALSE,1,"yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G5-X1-yellow-age-2"
"55",858472000,85.6409,1868290000,0.500249425945651,0,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,NA,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,89.633,330244,5262.77,0,-156.864,NA,NA,NA,6807.35,318274,NA,NA,NA,NA,57.1369,0,0,0,0,0,966660000,78.5349,2076370000,0.505141183893044,1,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.7056,0.44,0.5,0,0,0,0,0,20,0,21.2017,-1,4.08092,15,-999,999,18.303,-1,4.08564,15,-999,999,89.633,6104870,3.26903e-10,0,6100080,NA,NA,NA,4799.46,NA,NA,NA,NA,NA,-16.2373,0,0,0.000896688,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G5-X1-yellow-age",3,"D1","F0","G5","X1",NA,"age",0.00372831,"#V3.24O",0.0641666666666667,FALSE,1,"yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G5-X1-yellow-age-3"
"56",858473000,85.6409,1868290000,0.531762734907322,0,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,NA,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,96.1834,330427,5482.18,0,-155.951,NA,NA,NA,6796.65,318251,NA,NA,NA,NA,53.3458,0,0,0,0,0,956561000,77.8869,2056810000,0.50707649223798,1,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.69613,0.44,0.5,0,0,0,0,0,20,0,21.155,-1,4.07525,15,-999,999,18.3295,-1,4.08953,15,-999,999,96.1834,6099510,3.56469e-10,0,6094880,NA,NA,NA,4645.34,NA,NA,NA,NA,NA,-20.7031,0,0,0.000897113,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G5-X1-yellow-age",4,"D1","F0","G5","X1",NA,"age",0.015698,"#V3.24O",0.0566666666666667,FALSE,1,"yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G5-X1-yellow-age-4"
"57",737546000,65.6393,1868290000,0.38666802263032,0,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,NA,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,72.7066,324270,43.0984,0,-178.019,NA,NA,NA,6674.38,317667,NA,NA,NA,NA,63.206,0,0,0,0,0,817359000,66.4661,2060760000,0.512805955084532,1,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.69805,0.44,0.5,0,0,0,0,0,20,0,21.215,-1,4.075,15,-999,999,18.3123,-1,4.06823,15,-999,999,72.7066,5935990,3.75094e-10,0,5931330,NA,NA,NA,4674.65,NA,NA,NA,NA,NA,-12.6107,0,0,0.000900856,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G6-X1-yellow-age",1,"D1","F0","G6","X1",NA,"age",0.00551753,"#V3.24O",0.0572222222222222,FALSE,1,"yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G6-X1-yellow-age-1"
"58",737896000,65.6586,1868290000,0.405573010613984,0,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,NA,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,76.2883,324191,41.8162,0,-178.023,NA,NA,NA,6605.08,317667,NA,NA,NA,NA,54.9667,0,0,0,0,0,776473000,62.9645,1955160000,0.410471777245852,1,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.64545,0.44,0.5,0,0,0,0,0,20,0,21.2355,-1,4.08734,15,-999,999,18.2914,-1,4.08139,15,-999,999,76.2883,6007440,4.37019e-10,0,6002670,NA,NA,NA,4794.44,NA,NA,NA,NA,NA,-16.9398,0,0,0.000896185,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G6-X1-yellow-age",2,"D1","F0","G6","X1",NA,"age",0.0582817,"#V3.24O",0.0586111111111111,FALSE,1,"yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G6-X1-yellow-age-2"
"59",737387000,65.6306,1868290000,0.406424056222535,0,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,NA,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,75.6591,324365,39.2922,0,-178.035,NA,NA,NA,6755.69,317691,NA,NA,NA,NA,57.1369,0,0,0,0,0,777835000,63.1375,1960060000,0.421026907339571,1,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.64795,0.44,0.5,0,0,0,0,0,20,0,21.2016,-1,4.08233,15,-999,999,18.3448,-1,4.09246,15,-999,999,75.6591,6030730,3.95968e-10,0,6026010,NA,NA,NA,4738.75,NA,NA,NA,NA,NA,-17.0073,0,0,0.000894938,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G6-X1-yellow-age",3,"D1","F0","G6","X1",NA,"age",0.002818,"#V3.24O",0.0588888888888889,FALSE,1,"yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G6-X1-yellow-age-3"
"60",737389000,65.6307,1868290000,0.429319859336613,0,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,NA,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,80.7564,324323,42.9785,0,-178.02,NA,NA,NA,6736.2,317669,NA,NA,NA,NA,53.3458,0,0,0,0,0,779053000,63.2606,1964130000,0.428944621791837,1,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.65003,0.44,0.5,0,0,0,0,0,20,0,21.1202,-1,4.06764,15,-999,999,18.268,-1,4.07924,15,-999,999,80.7564,6025120,4.18752e-10,0,6020420,NA,NA,NA,4717.62,NA,NA,NA,NA,NA,-21.7321,0,0,0.000900965,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G6-X1-yellow-age",4,"D1","F0","G6","X1",NA,"age",0.00278954,"#V3.24O",0.0563888888888889,FALSE,1,"yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G6-X1-yellow-age-4"
"61",703734000,59.3805,1868290000,0.368823362540077,0,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,NA,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,70.1527,324222,6.56621e-07,0,-178.211,NA,NA,NA,6679.56,317657,NA,NA,NA,NA,63.206,0,0,0,0,0,757431000,60.8985,2012110000,0.450987769058352,0,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.67416,0.44,0.5,0,0,0,0,0,-0.104735,0,21.2154,-1,4.07503,15,-999,999,18.3001,-1,4.07203,15,-999,999,70.1527,5867630,4.25707e-10,0,5862880,NA,NA,NA,4751.98,NA,NA,NA,NA,NA,-7.40516,0,0,0.000900219,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G7-X1-yellow-age",1,"D1","F0","G7","X1",NA,"age",0.00421898,"#V3.24O",0.0544444444444444,FALSE,1,"yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G7-X1-yellow-age-1"
"62",703734000,59.3805,1868290000,0.386876769666379,0,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,NA,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,73.579,324145,9.57545e-07,0,-178.211,NA,NA,NA,6610.01,317658,NA,NA,NA,NA,54.9667,0,0,0,0,0,734460000,59.0686,1948790000,0.386651204080481,0,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.64219,0.44,0.5,0,0,0,0,0,0.000296007,0,21.2242,-1,4.08536,15,-999,999,18.3436,-1,4.09006,15,-999,999,73.579,5931420,4.46232e-10,0,5926670,NA,NA,NA,4763.94,NA,NA,NA,NA,NA,-17.4277,0,0,0.000894711,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G7-X1-yellow-age",2,"D1","F0","G7","X1",NA,"age",0.0338484,"#V3.24O",0.0547222222222222,FALSE,1,"yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G7-X1-yellow-age-2"
"63",703734000,59.3805,1868290000,0.388530688490545,0,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,NA,5.6,0.44,0.5,0,0,0,0,0,0,0,21.2,-1,4.08,15,-999,999,18.28,-1,4.08,15,-999,999,73.1107,324321,9.35846e-07,0,-178.211,NA,NA,NA,6760.24,317681,NA,NA,NA,NA,57.1369,0,0,0,0,0,741690000,59.6534,1966720000,0.396761104783599,0,0.05,18,62,0.047,0.13,0.13,9.77e-06,3.17125,14.6,-0.474,137900,36500,1,1,1,1,5.65135,0.44,0.5,0,0,0,0,0,-0.010823,0,21.2076,-1,4.08323,15,-999,999,18.2543,-1,4.07586,15,-999,999,73.1107,5952520,4.00125e-10,0,5947900,NA,NA,NA,4634.57,NA,NA,NA,NA,NA,-15.221,0,0,0.000898327,0,0,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G7-X1-yellow-age",3,"D1","F0","G7","X1",NA,"age",0.0376089,"#V3.24O",0.0502777777777778,FALSE,1,"yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1-F0-G7-X1-yellow-age-3"
