"SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","F","D","E","R","X","species","year"
4082630000,155131000,0,4248510000,153178000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",1
4082630000,174064000,0,4199550000,172336000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",2
4089150000,105100000,0,4424210000,102390000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",3
4118930000,28646800,0,4133410000,30141900,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",4
4158430000,141115000,0,4475620000,134937000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",5
4145750000,53686300,0,4413730000,50945800,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",6
4077780000,73187300,0,4296610000,69981900,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",7
3998200000,110778000,0,4097090000,108303000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",8
3870550000,140686000,0,4052680000,136426000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",9
3733960000,169027000,0,3861960000,169483000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",10
3624540000,83291500,0,3771040000,82384700,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",11
3569640000,52933700,0,3702510000,53246500,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",12
3556540000,95889300,0,3777630000,95334500,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",13
3523240000,94659700,0,3667330000,94607100,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",14
3464930000,39072200,0,3660610000,39496300,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",15
3403480000,71623700,0,3597640000,72977100,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",16
3323460000,76422800,0,3511960000,77337900,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",17
3211870000,102151000,0,3455190000,99317000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",18
3097110000,113289000,0,3287990000,112004000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",19
2993450000,94401600,0,3234840000,98348900,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",20
2922400000,170619000,0,3303350000,174275000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",21
2883320000,163677000,0,3058960000,164218000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",22
2883900000,158962000,0,3185670000,154994000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",23
2955340000,200769000,0,3235390000,199161000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",24
3076420000,156610000,0,3400540000,164790000,0,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",25
3243080000,73138100,0.07,3643290000,71800400,0.071217,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",26
3223290000,139306000,0.07,3665140000,132362000,0.0698288,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",27
3177530000,170790000,0.07,3574480000,173717000,0.0695874,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",28
3085770000,123981000,0.07,3411820000,127796000,0.0711612,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",29
3005080000,108754000,0.07,3330650000,106996000,0.0694479,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",30
2938380000,83238800,0.07,3227410000,83222900,0.0681201,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",31
