"SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","F","D","E","R","X","species","year"
4082630000,155131000,0,4232320000,125627000,0,"F0-D5-E0-R0-X5-cow",1,"F0","D5","E0","R0","X5","cow",1
4082630000,174064000,0,4232310000,125194000,0,"F0-D5-E0-R0-X5-cow",1,"F0","D5","E0","R0","X5","cow",2
4089150000,105100000,0,4231950000,124751000,0,"F0-D5-E0-R0-X5-cow",1,"F0","D5","E0","R0","X5","cow",3
4118930000,28646800,0,4230670000,124295000,0,"F0-D5-E0-R0-X5-cow",1,"F0","D5","E0","R0","X5","cow",4
4158430000,141115000,0,4228280000,123823000,0,"F0-D5-E0-R0-X5-cow",1,"F0","D5","E0","R0","X5","cow",5
4145750000,53686300,0,4224460000,123320000,0,"F0-D5-E0-R0-X5-cow",1,"F0","D5","E0","R0","X5","cow",6
4077780000,73187300,0,4219300000,122778000,0,"F0-D5-E0-R0-X5-cow",1,"F0","D5","E0","R0","X5","cow",7
3998200000,110778000,0,4212690000,122184000,0,"F0-D5-E0-R0-X5-cow",1,"F0","D5","E0","R0","X5","cow",8
3870550000,140686000,0,4204490000,121523000,0,"F0-D5-E0-R0-X5-cow",1,"F0","D5","E0","R0","X5","cow",9
3733960000,169027000,0,4194890000,120857000,0,"F0-D5-E0-R0-X5-cow",1,"F0","D5","E0","R0","X5","cow",10
3624540000,83291500,0,4183910000,120204000,0,"F0-D5-E0-R0-X5-cow",1,"F0","D5","E0","R0","X5","cow",11
3569640000,52933700,0,4171650000,119592000,0,"F0-D5-E0-R0-X5-cow",1,"F0","D5","E0","R0","X5","cow",12
3556540000,95889300,0,4157910000,118889000,0,"F0-D5-E0-R0-X5-cow",1,"F0","D5","E0","R0","X5","cow",13
3523240000,94659700,0,4143350000,118101000,0,"F0-D5-E0-R0-X5-cow",1,"F0","D5","E0","R0","X5","cow",14
3464930000,39072200,0,4127560000,117377000,0,"F0-D5-E0-R0-X5-cow",1,"F0","D5","E0","R0","X5","cow",15
3403480000,71623700,0,4110690000,116526000,0,"F0-D5-E0-R0-X5-cow",1,"F0","D5","E0","R0","X5","cow",16
3323460000,76422800,0,4092780000,115751000,0,"F0-D5-E0-R0-X5-cow",1,"F0","D5","E0","R0","X5","cow",17
3211870000,102151000,0,4073840000,114874000,0,"F0-D5-E0-R0-X5-cow",1,"F0","D5","E0","R0","X5","cow",18
