"SpawnBio_om","Recruit_0_om","F_om","SpawnBio_em","Recruit_0_em","F_em","scenario","replicate","F","D","E","R","X","species","year"
1802920000,189712000,0.07,1969780000,201502000,0.0710687,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",47
1808080000,106123000,0.07,2.026e+09,97079500,0.0704752,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",48
1826670000,124961000,0.07,2040430000,129749000,0.0702175,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",49
1891840000,87896700,0.07,2156490000,88686000,0.0705024,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",50
1947400000,206460000,0.07,2198250000,196697000,0.0704687,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",51
1994150000,114238000,0.07,2262570000,103898000,0.0702346,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",52
2042540000,66055800,0.07,2293750000,69197300,0.070795,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",53
2126570000,57567600,0.07,2362900000,53416500,0.0727614,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",54
2170110000,121058000,0.07,2388790000,118115000,0.0718903,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",55
2155790000,97452700,0.07,2325490000,103140000,0.0726265,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",56
2109710000,81257200,0.07,2204340000,93039100,0.0733686,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",57
2069070000,56393500,0.07,2192910000,56027200,0.0739562,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",58
2020150000,186471000,0.07,2136500000,192390000,0.0734526,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",59
1955780000,68092900,0.07,2072370000,68321300,0.0730731,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",60
1907010000,217650000,0.07,2053040000,196704000,0.0737561,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",61
1907870000,106774000,0.07,2062840000,106740000,0.0729314,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",62
1924930000,52557400,0.07,2077900000,60813000,0.0733903,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",63
2003730000,147905000,0.07,2176620000,148572000,0.0739681,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",64
2045900000,113408000,0.07,2190350000,118516000,0.0734165,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",65
2057410000,149797000,0.07,2210100000,144490000,0.0746626,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",66
2081820000,170457000,0.07,2254360000,181959000,0.0742357,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",67
2105430000,79477500,0.07,2.135e+09,79473600,0.0744192,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",68
2156300000,100221000,0.07,2311870000,98484600,0.0741262,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",69
2210480000,66200500,0.07,2398380000,68871000,0.0736514,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",70
2222400000,111246000,0.07,2396450000,121717000,0.0740983,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",71
2202980000,97909300,0.07,2324580000,105246000,0.0738926,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",72
2153240000,139310000,0.07,2257900000,133779000,0.0742117,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",73
2105310000,139052000,0.07,2248580000,145647000,0.0729211,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",74
2067350000,127549000,0.07,2234140000,123948000,0.0727993,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",75
2063690000,221240000,0.07,2219640000,209155000,0.072806,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",76
2082890000,86843800,0.07,2288460000,104253000,0.072394,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",77
2138920000,63334600,0.07,2345200000,69856400,0.072796,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",78
2229990000,59775700,0.07,2451750000,67645000,0.0718246,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",79
2262330000,137233000,0.07,2464430000,142890000,0.0720618,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",80
2235330000,53898500,0.07,2420970000,51904900,0.0724519,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",81
2180840000,174226000,0.07,2392810000,170166000,0.0722457,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",82
2126980000,126039000,0.07,2314430000,146239000,0.0720267,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",83
2069490000,78063100,0.07,2.276e+09,90321900,0.0715202,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",84
2066960000,55745300,0.07,2267500000,62274200,0.072077,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",85
2065660000,89812000,0.07,2272820000,95961600,0.0714393,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",86
2035420000,88335400,0.07,2273410000,97981700,0.0701893,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",87
1979750000,70569100,0.07,2217720000,86305800,0.0691235,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",88
1923080000,115874000,0.07,2179870000,110401000,0.0687195,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",89
1862800000,193153000,0.07,2101600000,191801000,0.0696086,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",90
1808430000,102175000,0.07,2083630000,101324000,0.0678407,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",91
1807990000,80275200,0.07,2126600000,91454300,0.0678206,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",92
1863110000,99910800,0.07,2136850000,104724000,0.0683069,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",93
1902760000,62623700,0.07,2221490000,63316900,0.0681162,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",94
1921950000,101925000,0.07,2224280000,94205900,0.0683573,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",95
1919760000,102292000,0.07,2200170000,94765500,0.0687312,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",96
1891410000,112452000,0.07,2145970000,104017000,0.0688172,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",97
1867420000,123009000,0.07,2099180000,104365000,0.0691522,"F0-D0-E0-R0-X0-cow",1,"F0","D0","E0","R0","X0","cow",98
